EMPRESA,NIT,PLACA,ANO DE FABRIC./MODELO,RENAVAM,N° CHASSI,VISTORIADO,N° DE SELO,AR CONDICIONADO,DISPOSITIVO DE ACESSIBILIDADE,PASSAGEIROS SENTADOS,GPS,CAMERA,N° DO PROCESSO DE VISTORIA,OBSERVAÇÃO,CONSORCIO
MIRAMAR,2.3.001,LUO-5G79,2022/2023,1348711385,9BM384067PB303696,2024,86.0,SIM,SIM,37,SIM,SIM,9900071256/24,Veículo anterior baixado - Proc. N° 080003874/20,TRANSOCEÂNICO
MIRAMAR,2.3.002,LUO-5G81,2022/2023,1348722611,9BM384067PB310509,2024,213.0,SIM,SIM,37,SIM,SIM,9900071264/24,Veículo anterior baixado - Proc. N° 080003873/20,TRANSOCEÂNICO
MIRAMAR,2.3.003,LUO-5G80,2022/2023,1348721534,9BM384067PB310513,2024,73.0,SIM,SIM,37,SIM,SIM,9900071275/24,Veículo anterior baixado - Proc. N° 080003872/20,TRANSOCEÂNICO
SANTO ANTONIO,2.2.125,LMR-0C76,2018/2019,1180624278,9BM382189KB118769,2024,260.0,SIM,SIM,32,SIM,SIM,9900075500/24,,TRANSOCEÂNICO
SANTO ANTONIO,2.2.126,LUH-7B89,2018/2019,1180622453,9BM382189KB118566,2024,315.0,SIM,SIM,32,SIM,SIM,9900075515/24,,TRANSOCEÂNICO
SANTO ANTONIO,2.2.127,LTN-9E69,2018/2019,1180623824,9BM382189KB118614,2024,365.0,SIM,SIM,32,SIM,SIM,9900075528/24,,TRANSOCEÂNICO
SANTO ANTONIO,2.2.128,LMR-0C75,2018/2019,1180623433,9BM382189KB118723,2024,417.0,SIM,SIM,32,SIM,SIM,9900076019/24,,TRANSOCEÂNICO
SANTO ANTONIO,2.2.129,LUT-5E56,2018/2019,1180623042,9BM382189KB117032,2024,537.0,SIM,SIM,32,SIM,SIM,9900076054/24,,TRANSOCEÂNICO
MIRAMAR,2.3.009,LRE-9766,2013/2014,999204319,9BM384067EB944369,2024,458.0,SIM,SIM,36,SIM,SIM,9900071394/24,,TRANSOCEÂNICO
MIRAMAR,2.3.010,LRE-9772,2013/2014,999811053,9BM384067EB944373,2024,504.0,SIM,SIM,36,SIM,SIM,9900071419/24,,TRANSOCEÂNICO
MIRAMAR,2.3.011,LRE-9771,2013/2014,999810340,9BM384067EB944363,2024,87.0,SIM,SIM,36,SIM,SIM,9900071259/24,,TRANSOCEÂNICO
MIRAMAR,2.3.012,LRE-9770,2013/2014,999809717,9BM384067EB944367,2024,214.0,SIM,SIM,36,SIM,SIM,9900071266/24,,TRANSOCEÂNICO
MIRAMAR,2.3.013,LRE-9769,2013/2014,999807609,9BM384067EB942588,2024,75.0,SIM,SIM,36,SIM,SIM,9900071276/24,,TRANSOCEÂNICO
MIRAMAR,2.3.015,LRE-9768,2013/2014,999805924,9BM384067EB943662,2024,272.0,SIM,SIM,36,SIM,SIM,9900071311/24,,TRANSOCEÂNICO
MIRAMAR,2.3.016,KPX-9482,2014/2015,1046172163,9BM384067FB989349,2024,304.0,SIM,SIM,38,SIM,SIM,9900071322/24,,TRANSOCEÂNICO
MIRAMAR,2.3.017,LRF-9928,2014/2015,1046172856,9BM384067FB989404,2024,356.0,SIM,SIM,38,SIM,SIM,9900071339/24,,TRANSOCEÂNICO
MIRAMAR,2.3.018,LRF-9930,2014/2015,1046173500,9BM384067FB979524,2024,404.0,SIM,SIM,38,SIM,SIM,9900071375/24,,TRANSOCEÂNICO
MIRAMAR,2.3.019,LRF-9931,2014/2014,1046173844,9BM384067EB966408,2024,455.0,SIM,SIM,38,SIM,SIM,9900071398/24,,TRANSOCEÂNICO
MIRAMAR,2.3.020,KPX-9483,2015/2015,1046174719,9BM384067FB002044,2024,502.0,SIM,SIM,36,SIM,SIM,9900071423/24,,TRANSOCEÂNICO
MIRAMAR,2.3.021,LRF-9927,2015/2015,1046172465,9BM384067FB001224,2024,88.0,SIM,SIM,36,SIM,SIM,9900071260/24,,TRANSOCEÂNICO
